               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.036916,            0.034714,           0.0044764,              0.8912,             0.80233,             0.79866,             0.63332,            0.028676,            0.012535,           0.0040262,            0.006238,            0.006238,            0.006238
                  59,            0.038904,            0.039939,           0.0037158,             0.89937,             0.80412,             0.80494,             0.63389,            0.029502,            0.013025,           0.0040043,            0.006172,            0.006172,            0.006172
                  60,            0.039234,            0.035174,           0.0043492,             0.90017,             0.80451,             0.80673,             0.64095,            0.030106,            0.012632,           0.0039793,            0.006106,            0.006106,            0.006106
                  61,            0.040058,            0.035454,           0.0039787,             0.89268,             0.79913,             0.78725,             0.59588,            0.030639,            0.013018,           0.0040729,             0.00604,             0.00604,             0.00604
                  62,            0.035836,             0.03377,           0.0039413,             0.89657,             0.80313,             0.79458,             0.59535,            0.033067,            0.012456,           0.0039942,            0.005974,            0.005974,            0.005974
                  63,            0.037359,            0.031039,            0.004786,             0.89851,             0.80328,             0.80248,             0.64608,            0.028717,            0.011813,           0.0040122,            0.005908,            0.005908,            0.005908
                  64,            0.038031,            0.034917,            0.004148,             0.89847,             0.80437,             0.79188,             0.60737,            0.029187,            0.012452,           0.0048507,            0.005842,            0.005842,            0.005842
                  65,            0.039798,            0.036038,           0.0036061,             0.89862,             0.80144,             0.79953,             0.63136,            0.029473,            0.013336,           0.0039492,            0.005776,            0.005776,            0.005776
                  66,            0.036058,            0.032749,           0.0039282,             0.89943,             0.80286,             0.80039,             0.61293,            0.030207,            0.012289,           0.0040904,             0.00571,             0.00571,             0.00571
                  67,            0.035687,            0.031476,           0.0040589,              0.9042,             0.80563,             0.81794,             0.63353,            0.027766,            0.011541,           0.0041704,            0.005644,            0.005644,            0.005644
                  68,            0.035659,            0.032866,           0.0038798,             0.90626,             0.80752,             0.82185,              0.6294,            0.029194,            0.012116,           0.0040998,            0.005578,            0.005578,            0.005578
                  69,            0.037388,            0.033638,           0.0040157,             0.89114,             0.80344,             0.80167,             0.63921,            0.029041,            0.012152,           0.0040332,            0.005512,            0.005512,            0.005512
                  70,            0.036711,             0.03419,           0.0038959,             0.89312,             0.79723,             0.79681,             0.63742,            0.027939,             0.01243,           0.0039471,            0.005446,            0.005446,            0.005446
                  71,            0.036285,            0.030667,           0.0038545,             0.90419,             0.80792,             0.81716,             0.62663,            0.027852,            0.012913,           0.0038953,             0.00538,             0.00538,             0.00538
                  72,            0.036172,            0.034764,           0.0039815,             0.89854,             0.80272,             0.81576,              0.6429,            0.028391,            0.014552,           0.0038916,            0.005314,            0.005314,            0.005314
                  73,            0.035779,            0.032811,           0.0041581,              0.8925,             0.79787,             0.79804,             0.64901,            0.027241,            0.012538,           0.0038771,            0.005248,            0.005248,            0.005248
                  74,            0.035844,            0.033675,           0.0039473,             0.89762,             0.80272,             0.81535,             0.63837,            0.027941,            0.012522,           0.0038162,            0.005182,            0.005182,            0.005182
                  75,             0.03636,            0.034783,           0.0041823,             0.89137,             0.80041,             0.79847,             0.64771,            0.027376,            0.012698,           0.0039597,            0.005116,            0.005116,            0.005116
                  76,            0.035376,            0.035003,           0.0043586,             0.90149,             0.80576,             0.79914,             0.61049,             0.03224,            0.012038,           0.0039538,             0.00505,             0.00505,             0.00505
                  77,             0.03649,            0.040112,           0.0036092,              0.8969,             0.80516,             0.80261,             0.64092,            0.028443,            0.012407,           0.0039139,            0.004984,            0.004984,            0.004984
                  78,            0.035131,            0.033615,           0.0033982,             0.89641,             0.80024,             0.79604,             0.64597,            0.029424,            0.012367,           0.0039231,            0.004918,            0.004918,            0.004918
                  79,            0.034977,            0.032358,           0.0037522,             0.89834,             0.80261,             0.80244,             0.65214,            0.025661,            0.011968,           0.0037976,            0.004852,            0.004852,            0.004852
                  80,            0.035794,            0.036102,           0.0036418,             0.90309,             0.80787,             0.80983,             0.64444,            0.026362,            0.012438,           0.0037479,            0.004786,            0.004786,            0.004786
                  81,            0.035701,            0.033143,           0.0036884,             0.89327,              0.8019,             0.79239,             0.61577,            0.030225,            0.012426,           0.0039272,             0.00472,             0.00472,             0.00472
                  82,            0.032835,            0.032609,           0.0036304,             0.89929,             0.80297,              0.8032,             0.65252,            0.026893,            0.012163,           0.0039272,            0.004654,            0.004654,            0.004654
                  83,            0.035453,            0.034264,           0.0038941,             0.90045,             0.80251,             0.80612,             0.65495,            0.026383,            0.012664,           0.0038813,            0.004588,            0.004588,            0.004588
                  84,            0.034542,             0.03287,           0.0043775,             0.89318,             0.80233,             0.79737,              0.6445,             0.02602,            0.012477,           0.0037476,            0.004522,            0.004522,            0.004522
                  85,            0.034215,            0.032629,            0.003821,             0.89616,             0.80594,             0.78946,              0.6256,             0.02816,            0.012751,           0.0037765,            0.004456,            0.004456,            0.004456
                  86,            0.032764,            0.028211,           0.0034576,             0.89771,             0.80666,             0.80299,             0.65995,            0.026054,            0.011765,            0.003723,             0.00439,             0.00439,             0.00439
                  87,            0.033465,            0.032718,           0.0037249,             0.90003,             0.80854,             0.79951,              0.6437,            0.027058,            0.011775,           0.0036379,            0.004324,            0.004324,            0.004324
                  88,            0.032261,            0.032617,           0.0036922,              0.8969,             0.80041,             0.79728,             0.63285,             0.02734,            0.011909,           0.0036284,            0.004258,            0.004258,            0.004258
                  89,            0.033522,            0.033676,           0.0037886,             0.90014,              0.8026,             0.79635,             0.63933,            0.026959,            0.011865,           0.0037374,            0.004192,            0.004192,            0.004192
                  90,            0.035707,            0.032664,           0.0036771,             0.89225,             0.79735,              0.7923,             0.62817,            0.028825,             0.01277,           0.0037175,            0.004126,            0.004126,            0.004126
                  91,            0.034531,            0.033015,            0.003317,             0.89294,             0.79742,              0.7898,             0.64536,            0.027601,              0.0128,            0.003711,             0.00406,             0.00406,             0.00406
                  92,            0.037325,            0.034146,           0.0032306,              0.8927,             0.79753,             0.78971,             0.64535,            0.026448,            0.012641,           0.0036573,            0.003994,            0.003994,            0.003994
                  93,            0.033511,             0.03193,           0.0044235,             0.89923,             0.80848,             0.80447,             0.65389,            0.025359,             0.01173,           0.0035687,            0.003928,            0.003928,            0.003928
                  94,            0.032371,            0.036187,           0.0036447,             0.89255,             0.80945,             0.80163,             0.64346,            0.026124,            0.011807,           0.0035063,            0.003862,            0.003862,            0.003862
                  95,            0.031573,            0.031766,           0.0037856,             0.89962,             0.80265,             0.79994,             0.65711,            0.025118,            0.011646,           0.0035264,            0.003796,            0.003796,            0.003796
                  96,            0.032587,            0.031146,           0.0050827,             0.89883,             0.80258,              0.7918,             0.65552,            0.025394,            0.012502,           0.0036541,             0.00373,             0.00373,             0.00373
                  97,            0.032065,            0.031108,           0.0038569,              0.8988,             0.80264,              0.7978,             0.65415,            0.025495,            0.012127,           0.0036973,            0.003664,            0.003664,            0.003664
                  98,            0.033453,            0.033684,           0.0036862,             0.89878,             0.80265,             0.79928,             0.66123,            0.024945,            0.012253,            0.003631,            0.003598,            0.003598,            0.003598
                  99,            0.032893,            0.036123,            0.003517,              0.8937,             0.79753,             0.78629,             0.65476,            0.025563,            0.012093,           0.0036393,            0.003532,            0.003532,            0.003532
                 100,            0.030061,            0.026302,           0.0032417,             0.89995,             0.80274,              0.7948,             0.65328,            0.026898,             0.01141,           0.0041774,            0.003466,            0.003466,            0.003466
                 101,            0.033977,            0.032551,           0.0036331,             0.89961,             0.80901,             0.80135,             0.66054,            0.027009,            0.011901,            0.003614,              0.0034,              0.0034,              0.0034
                 102,            0.030948,              0.0308,           0.0034995,             0.89837,             0.80778,             0.80824,             0.65208,            0.026596,            0.011606,           0.0035679,            0.003334,            0.003334,            0.003334
                 103,            0.031328,             0.02977,           0.0036382,             0.89165,             0.79756,              0.8019,             0.67597,            0.024501,             0.01164,           0.0036119,            0.003268,            0.003268,            0.003268
                 104,            0.032566,            0.035176,           0.0037621,             0.89951,             0.80885,              0.8095,             0.66238,            0.025136,            0.012183,           0.0035816,            0.003202,            0.003202,            0.003202
                 105,             0.03142,            0.030923,            0.003041,             0.90014,             0.80879,             0.80574,             0.65904,            0.025572,            0.012221,           0.0037133,            0.003136,            0.003136,            0.003136
                 106,            0.031719,            0.032507,           0.0038532,              0.9001,             0.80891,             0.80827,             0.67307,            0.024768,            0.012183,           0.0036333,             0.00307,             0.00307,             0.00307
                 107,            0.031827,            0.030183,           0.0030754,             0.89879,             0.80296,              0.8093,             0.68487,            0.024606,            0.011806,           0.0035626,            0.003004,            0.003004,            0.003004
                 108,            0.031227,            0.031059,           0.0034058,             0.89864,             0.80296,             0.80948,             0.68431,            0.024286,            0.011825,           0.0035208,            0.002938,            0.002938,            0.002938
                 109,            0.030191,            0.030451,           0.0029933,             0.89782,             0.80281,             0.80518,             0.66938,            0.024394,            0.011943,           0.0034964,            0.002872,            0.002872,            0.002872
                 110,            0.028928,            0.029584,           0.0036268,             0.89871,             0.80288,             0.80367,             0.66439,             0.02463,            0.011297,           0.0034627,            0.002806,            0.002806,            0.002806
                 111,             0.03149,            0.030678,           0.0048931,             0.90609,             0.81399,              0.8111,             0.67277,            0.024325,            0.012122,           0.0034716,             0.00274,             0.00274,             0.00274
                 112,            0.030325,            0.030542,           0.0034674,             0.90535,             0.80773,             0.81316,             0.67301,             0.02473,            0.011997,           0.0035287,            0.002674,            0.002674,            0.002674
